correct	wrong
خاتمی با اشاره به حوادث و جنایت‌های بعد از انتخابات ریأست جمهوری خاطرنشان کرد	خاتمی با اشاره به حوادثها و جنایت‌های بعد از انتخابات ریاست جمهوری خاطرنشان کرد
همچنین به‌علت انفجارهای مین به‌جای مانده از دوران جنگ تحمیلی به ماشیءن آلات کشاورزی و دستگاه‌های مین روی خسارت مادی وارد و چندین رأس احشام نیز تلف شدند	همچنین به‌علت انفجارهای مین به‌جای مانده از دوران جنگ تحمیلی به ماشین آلات کشاورزی و دستگاه‌های مین روی خسارت مادی وارد و چندین راس احشامها نیز تلف شدند
تیمی از مأموران دایره مبارزه با سرقت پلیس آگاهی در پی یک فقره سرقت احشام از یکی از روستاهای بخش زبرخان شهرستان نیشابور دستگیری سارقان را دستور کار خود قرار دادند	تیمی از ماموران دایره مبارزه با سرقت پلیس آگاهی در پی یک فقره سرقت احشامها از یکی از روستاهای بخش زبرخان شهرستان نیشابور دستگیری سارقان را دستور کار خود قرار دادند
متهم پس از دستگیری ضمن اعتراف به قتل تاکنون به چهار فقره سرقت به عنف از اتباع افغانستان در بخش بردخون سه فقره تیراندازی به اشخاص مختلف چهار فقره سرقت احشام و سرقت از مجتمع فرهنگی و هنری بردخون اعتراف کرده_است	متهم پس از دستگیری ضمن اعتراف به قتل تاکنون به چهار فقره سرقت به عنف از اتباع افغانستان در بخش بردخون سه فقره تیراندازی به اشخاص مختلف چهار فقره سرقت احشامها و سرقت از مجتمع فرهنگی و هنری بردخون اعتراف کرده_است
به‌خوبی حاشیءه‌های باریک اطراف نمایشگر را در سه سمت و یک چانه‌ی باریک در پایین نمایشگر را تایید کند	بخوبی حاشیه‌های باریک اطرافها نمایشگر را در سه سمت و یک چانه‌ی باریک در پایین نمایشگر را تایید کند
و برخی از اطرافیان نزدیک از جمله حقیر به این صورت از وجود ایشان بهره مند می‌گردیده‌اند	و برخی از اطرافهایان نزدیک از جمله حقیر به این صورت از وجود ایشان بهره مند می‌گردیده‌اند
و گرفتن عکس داخل بقیع مالیدن پارچه‌های کفنی و غیره به شبکه‌های اطراف بقیع جهت تبرک سد معبر در جلوی بقیع و ایجاد مزاحمت برای دیگران و سیگار کشیءدن در بقیع و دیگر اماکن عمومی ممنوع است	و گرفتن عکس داخل بقیع مالیدن پارچه‌های کفنی و غیره به شبکه‌های اطرافها بقیع جهت تبرک سد معبر در جلوی بقیع و ایجاد مزاحمت برای دیگران و سیگار کشیدن در بقیع و دیگر اماکن عمومی ممنوع است
روح هایی اطراف ما هستند	روح هایی اطرافها ما هستند
از همین اشیءا محسوءس اطراف ما به زبان عادی خود مردم سخن گویند	از همین اشیا محسوس اطرافها ما به زبان عادی خود مردم سخن گویند
اما در اعماق ضمیر خود مردم را خوار شمرده	اما در اعماقها ضمیر خود مردم را خوار شمرده
در اعماق تاریخ گذشته فرو می‌روم	در اعماقها تاریخ گذشته فرو می‌روم
صادق وفایی نویسنده و کارگردان نمایش تعلیق در اعماق آتلانتیک در گفتگو با خبه رنگار مهر درباره انگیزه خود از نگارش این نمایشنامه گفت	صادق وفایی نویسنده و کارگردان نمایش تعلیق در اعماقها آتلانتیک در گفتگو با خبرنگار مهر درباره انگیزه خود از نگارش این نمایشنامه گفت
خداوند متعال دعایی را که از اعماق قلب نباشد	خداوند متعال دعایی را که از اعماقها قلب نباشد
این که پلیس‌هایی که سه ماه در اعماق زمین گرفتار بوده‌اند	این که پلیس‌هایی که سه ماه در اعماقها زمین گرفتار بوده‌اند
بررسی سایر عوامل نظیر قصد و نیت انجام این کار در حوزه صلاحیت و اختیارات دانشگاه علوم پزشکی نبوده	بررسی سایر عوامل نظیر قصد و نیت انجام این کار در حوزه صلاحیت و اختیارات دانشگاه علومها پزشکی نبوده
پس از انتشار اخباری درباره قرار دادن قرص یا کپسوءل هایی درون مواد خوراکی مدیر روابط عمومی دانشگاه علوم پزشکی اصفهان از تشکیل گروه گشت و بازرسی ویژه برای نظارت بر بازار خبر داد	پس از انتشار اخباری درباره قرار دادن قرص یا کپسول هایی درون مواد خوراکی مدیر روابط عمومی دانشگاه علومها پزشکی اصفهان از تشکیل گروه گشت و بازرسی ویژه برای نظارت بر بازار خبر داد
